RECORD,BBLE,BLOCK,LOT,EASEMENT,OWNER,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,STORIES,FULLVAL,AVLAND,AVTOT,,
103668,1000160230,16,230,NA,NA,D3,2,196,101,22,22941000,900000,10323450,,
228666,1000160235,16,235,NA,NA,D1,2,260,179,32,17845000,1620000,8030250,,
241149,1012681102,1268,1102,NA,NA,R5,4,200,315,40,483000000,80734554,217350000,,
458276,1000160190,16,190,NA,NA,D8,2,196,71,NA,73100000,1921500,32895000,,
559023,2024930001,2493,1,NA,NA,Q6,4,798,611,6,1663775000,78750000,748698750,,
581492,1000161301,16,1301,NA,NA,R5,4,0,0,14,99580000,5363820,44811000,,
694876,4017870020,1787,20,NA,NA,Q6,4,1700,1635,6,1223500000,110025000,550575000,,
805688,1017750003F,1775,3,F,NA,V9,4,60,115,NA,9010,4055,4055,,
902909,1000160185,16,185,NA,NA,D8,2,196,70,24,70800000,2601000,31860000,,
907040,1000160195,16,195,NA,NA,D8,2,196,135,24,73800000,4500000,33210000,,
1037511,1000161302,16,1302,NA,NA,R5,4,0,0,14,37500000,2700000,16875000,,
,,,,,,,,,,,,,,,
RECORD,EXLAND,EXTOT,EXCD1,STADDR,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,,
103668,900000,900000,6800,300 NORTH END AVENUE,10282,NA,0,0,747204,10170654,747204,747204,NA,,
228666,1620000,1620000,6800,200 NORTH END AVENUE,10282,NA,0,0,1377081,7787331,1377081,1377081,NA,,
241149,0,1722900,1985,666 5 AVENUE,10019,NA,200,315,80734554,226383703,NA,1722900,NA,,
458276,1921500,32895000,6800,22 RIVER TERRACE,10282,NA,0,0,1921500,32868000,1921500,32868000,NA,,
559023,78750000,748698750,2500,1 EAST 161 STREET,10451,NA,0,0,NA,NA,NA,NA,NA,,
581492,5363820,44811000,6800,102 NORTH END AVENUE,10282,NA,0,0,5363820,43583200,5363820,43583200,NA,,
694876,110025000,550575000,2500,123-01 ROOSEVELT AVENUE,11368,NA,800,170,95245199,547348274,95245199,547348274,NA,,
805688,4055,4055,2201,NA,NA,NA,0,0,2640,2640,2640,2640,NA,,
902909,2601000,31860000,2191,211 NORTH END AVENUE,10282,NA,196,70,2511450,28799550,2511450,28799550,5116,,
907040,4500000,33210000,6800,325 NORTH END AVENUE,10282,NA,0,0,4500000,38421000,4500000,38421000,NA,,
1037511,2700000,16875000,6800,102 NORTH END AVENUE,10282,NA,0,0,2700000,15717000,2700000,15717000,NA,,